Role	Perspective	Actor Keyword(s)	Target Keyword(s)	Behavior Path	Animation Path(s)
MT	3rd	ActorAttackInjuredLeft, ActorAttackInjuredRight		Actors\Character\Behaviors\BothArmInjuredMTWrappingBehavior.hkx	Actors\Character\Animations\MT\Neutral, Actors\Character\Animations, actors\Character\Animations\Furniture\Water
MT	3rd	AnimArchetypePlayer		Actors\Character\Behaviors\MTBehavior.hkx	Actors\Character\Animations\MT\Player, Actors\Character\Animations\MT\Confident, Actors\Character\Animations\MT\Neutral, Actors\Character\Animations, actors\Character\Animations\Furniture\Water
MT	3rd	AnimArchetypeNervous		Actors\Character\Behaviors\MTBehavior.hkx	Actors\Character\Animations\MT\Nervous, Actors\Character\Animations\MT\Neutral, Actors\Character\Animations
MT	3rd	AnimArchetypeIrritated		Actors\Character\Behaviors\MTBehavior.hkx	Actors\Character\Animations\MT\Irritated, Actors\Character\Animations\MT\Neutral, Actors\Character\Animations
MT	3rd	AnimArchetypeElderly, female		Actors\Character\Behaviors\MTBehavior.hkx	Actors\Character\Animations\MT\Elderly\Female, Actors\Character\Animations\MT\Depressed\Female, Actors\Character\Animations\MT\Neutral\Female, Actors\Character\Animations\MT\Elderly, Actors\Character\Animations\MT\Depressed, Actors\Character\Animations\MT\Neutral, Actors\Character\Animations
MT	3rd			Actors\Character\Behaviors\MTBehavior.hkx	Actors\Character\Animations\MT\Neutral, Actors\Character\Animations, actors\Character\Animations\Furniture\Water
MT	3rd	AnimArchetypeDepressed		Actors\Character\Behaviors\MTBehavior.hkx	Actors\Character\Animations\MT\Depressed, Actors\Character\Animations\MT\Neutral, Actors\Character\Animations
MT	3rd	ActorAttackInjuredLeft		Actors\Character\Behaviors\LeftArmInjuredMTWrappingBehavior.hkx	Actors\Character\Animations\MT\Neutral, Actors\Character\Animations, actors\Character\Animations\Furniture\Water
MT	3rd	ActorAttackInjuredRight		Actors\Character\Behaviors\RightArmInjuredMTWrappingBehavior.hkx	Actors\Character\Animations\MT\Neutral, Actors\Character\Animations, actors\Character\Animations\Furniture\Water
MT	3rd	AnimArchetypeConfident		Actors\Character\Behaviors\MTBehavior.hkx	Actors\Character\Animations\MT\Confident, Actors\Character\Animations\MT\Neutral, Actors\Character\Animations
MT	3rd	AnimArchetypeFriendly		Actors\Character\Behaviors\MTBehavior.hkx	Actors\Character\Animations\MT\Friendly, Actors\Character\Animations\MT\Neutral, Actors\Character\Animations
MT	3rd	AnimFlavorHandsBound		Actors\Character\Behaviors\HandsBoundMTWrappingBehavior.hkx	Actors\Character\Animations\MT\Neutral\HandsBound, Actors\Character\Animations\MT\Neutral, Actors\Character\Animations
MT	3rd	AnimArchetypeNervous, female		Actors\Character\Behaviors\MTBehavior.hkx	Actors\Character\Animations\MT\Nervous\Female, Actors\Character\Animations\MT\Neutral\Female, Actors\Character\Animations\MT\Nervous, Actors\Character\Animations\MT\Neutral, Actors\Character\Animations
MT	3rd	ActorMobilityInjuredLeft		Actors\Character\Behaviors\MTBehavior.hkx	Actors\Character\Animations\MT\Injured\Left, Actors\Character\Animations\MT\Neutral, Actors\Character\Animations, actors\Character\Animations\Furniture\Water
MT	3rd	ActorMobilityInjuredRight		Actors\Character\Behaviors\MTBehavior.hkx	Actors\Character\Animations\MT\Injured\Right, Actors\Character\Animations\MT\Neutral, Actors\Character\Animations, actors\Character\Animations\Furniture\Water
MT	3rd	ActorMobilityInjuredLeft, ActorMobilityInjuredRight		Actors\Character\Behaviors\MTBehavior.hkx	Actors\Character\Animations\MT\Injured\OnGround, Actors\Character\Animations\MT\Neutral, Actors\Character\Animations, actors\Character\Animations\Furniture\Water
MT	3rd	ActorAttackInjuredLeft, ActorMobilityInjuredLeft		Actors\Character\Behaviors\LeftArmInjuredMTWrappingBehavior.hkx	Actors\Character\Animations\MT\Injured\Left, Actors\Character\Animations\MT\Neutral, Actors\Character\Animations, actors\Character\Animations\Furniture\Water
MT	3rd	ActorAttackInjuredLeft, ActorMobilityInjuredRight		Actors\Character\Behaviors\LeftArmInjuredMTWrappingBehavior.hkx	Actors\Character\Animations\MT\Injured\Right, Actors\Character\Animations\MT\Neutral, Actors\Character\Animations, actors\Character\Animations\Furniture\Water
MT	3rd	ActorAttackInjuredRight, ActorMobilityInjuredLeft, ActorMobilityInjuredRight		Actors\Character\Behaviors\RightArmInjuredMTWrappingBehavior.hkx	Actors\Character\Animations\MT\Injured\OnGround, Actors\Character\Animations\MT\Neutral, actors\Character\Animations\Furniture\Water, Actors\Character\Animations
