Role	Perspective	Actor Keyword(s)	Target Keyword(s)	Behavior Path	Animation Path(s)
MT	3rd	AnimFlavorMilitary		Actors\Character\Behaviors\MTBehavior.hkx	Actors\PowerArmor\Animations\MT\Neutral\Military, Actors\PowerArmor\Animations\MT, Actors\PowerArmor\Animations\Paired
MT	3rd			Actors\Character\Behaviors\MTBehavior.hkx	Actors\PowerArmor\Animations\Deaths, Actors\PowerArmor\Animations\MT\Sneak, Actors\PowerArmor\Animations\MT, Actors\PowerArmor\Animations\Paired
MT	1st			Actors\Character\_1stPerson\Behaviors\MTBehavior.hkx	Actors\Character\_1stPerson\Animations\Furniture\Water, Actors\Character\_1stPerson\Animations\Loose, Actors\PowerArmor\_1stPerson\Animations\Common, Actors\Character\_1stPerson\Animations\Common, actors\Character\_1stPerson\Animations\Rifle, Actors\PowerArmor\_1stPerson\Animations\Paired
Weapon	3rd		Anims44, AnimsGripPistol	Actors\Character\Behaviors\NoHandIKWeaponWrappingBehavior.hkx	Actors\PowerArmor\Animations\Weapons\44, Actors\PowerArmor\Animations\Grips\Pistol, Actors\PowerArmor\Animations\Paired
Weapon	3rd		AnimsGripRifleStraight, AnimsSyringer	Actors\Character\Behaviors\WeaponBehavior.hkx	Actors\PowerArmor\Animations\Weapons\Syringer, Actors\PowerArmor\Animations\Grips\RifleStraight, Actors\PowerArmor\Animations\Paired
Weapon	3rd		Anims1hmShortWeapon, Anims1hmWeapon	Actors\Character\Behaviors\MeleeBehavior.hkx	Actors\PowerArmor\Animations\1HM, Actors\PowerArmor\Animations\Paired
Weapon	3rd		Anims1hmShortWeapon, Anims1hmWeapon, AnimsRipper	Actors\Character\Behaviors\MeleeBehavior.hkx	Actors\PowerArmor\Animations\1HM\Ripper, Actors\PowerArmor\Animations\1HM, Actors\PowerArmor\Animations\Paired
Weapon	3rd		Anims1hmWeapon	Actors\Character\Behaviors\MeleeBehavior.hkx	Actors\PowerArmor\Animations\1HM, Actors\PowerArmor\Animations\Paired
Weapon	3rd		Anims2hmWeapon	Actors\Character\Behaviors\MeleeBehavior.hkx	Actors\PowerArmor\Animations\1HM, Actors\PowerArmor\Animations\Paired
Weapon	3rd		Anims2hmWideWeapon	Actors\Character\Behaviors\MeleeBehavior.hkx	Actors\PowerArmor\Animations\1HM, Actors\PowerArmor\Animations\Paired
Weapon	3rd		AnimsAlienBlaster, AnimsGripPistol	Actors\Character\Behaviors\NoHandIKWeaponWrappingBehavior.hkx	Actors\PowerArmor\Animations\Weapons\AlienBlaster, Actors\PowerArmor\Animations\Grips\Pistol, Actors\PowerArmor\Animations\Paired
Weapon	3rd		AnimsBroadsider	Actors\Character\Behaviors\WeaponBehavior.hkx	Actors\PowerArmor\Animations\Weapons\Broadsider, Actors\PowerArmor\Animations\Grips\Minigun, Actors\PowerArmor\Animations\Paired
