Role	Perspective	Actor Keyword(s)	Target Keyword(s)	Behavior Path	Animation Path(s)
MT	3rd			Actors\Character\Behaviors\MTBehavior.hkx	Actors\Supermutant\Animations\MT\Neutral, Actors\Supermutant\Animations\H2H, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorMobilityInjuredLeft, ActorMobilityInjuredRight	AnimsMinigun	Actors\Character\Behaviors\WeaponBehavior.hkx	Actors\Supermutant\Animations\MiniGun\Injured\OnGround, Actors\Supermutant\Animations\MiniGun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredLeft, ActorMobilityInjuredLeft, ActorMobilityInjuredRight	AnimsUnarmed, WeaponTypeUnarmed	Actors\Character\Behaviors\MeleeBehavior.hkx	Actors\Supermutant\Animations\H2H\Injured\OnGround, Actors\Supermutant\Animations\H2H, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredLeft, ActorAttackInjuredRight, ActorMobilityInjuredRight	AnimsHuntingRifle	Actors\Character\Behaviors\BothArmInjuredWeaponWrappingBehavior.hkx	Actors\Supermutant\Animations\HuntingRifle\Injured\Right, Actors\Supermutant\Animations\Machinegun\Injured\Right, Actors\Supermutant\Animations\HuntingRifle, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredRight, ActorMobilityInjuredRight	AnimsGripShoulderFired, AnimsMissileLauncher	Actors\Character\Behaviors\RightArmInjuredWeaponWrappingBehavior.hkx	Actors\Supermutant\Animations\MissileLauncher\Injured\Right, Actors\Supermutant\Animations\MissileLauncher, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredLeft, ActorAttackInjuredRight	AnimsGripRifleAssault	Actors\Character\Behaviors\BothArmInjuredWeaponWrappingBehavior.hkx	Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredLeft	AnimsGripRifleAssault	Actors\Character\Behaviors\LeftArmInjuredWeaponWrappingBehavior.hkx	Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredRight	AnimsGripRifleAssault	Actors\Character\Behaviors\RightArmInjuredWeaponWrappingBehavior.hkx	Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorMobilityInjuredRight	AnimsGripRifleAssault	Actors\Character\Behaviors\WeaponBehavior.hkx	Actors\Supermutant\Animations\Machinegun\Injured\Right, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorMobilityInjuredLeft	AnimsGripRifleAssault	Actors\Character\Behaviors\WeaponBehavior.hkx	Actors\Supermutant\Animations\Machinegun\Injured\Left, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorMobilityInjuredLeft, ActorMobilityInjuredRight	AnimsGripRifleAssault	Actors\Character\Behaviors\WeaponBehavior.hkx	Actors\Supermutant\Animations\Machinegun\Injured\OnGround, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredLeft, ActorMobilityInjuredLeft	AnimsGripRifleAssault	Actors\Character\Behaviors\LeftArmInjuredWeaponWrappingBehavior.hkx	Actors\Supermutant\Animations\Machinegun\Injured\Left, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredLeft, ActorMobilityInjuredRight	AnimsGripRifleAssault	Actors\Character\Behaviors\LeftArmInjuredWeaponWrappingBehavior.hkx	Actors\Supermutant\Animations\Machinegun\Injured\Right, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredRight, ActorMobilityInjuredLeft, ActorMobilityInjuredRight	AnimsGripRifleAssault	Actors\Character\Behaviors\WeaponBehavior.hkx	Actors\Supermutant\Animations\Machinegun\Injured\OnGround, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
